text
"To be honest, I will come back next week to check. right now."
The village meeting is scheduled for next week. immediately.
My Buffaloes shed needs repair before the Dry season starts.??
"Sir, I went to the bank to update my passbook.??"
"To be honest, The animals are grazing in the open field.??"
"To be honest, I went to the bank to update my passbook."
"Basically, My Apiary shed needs repair before the Harvesting season starts. please."
"Hello, The road to the farm is in bad condition. right now."
"Basically, We struggle because our household income is only earning 20000 monthly.."
"Actually, Agriculture is the backbone of our economy. please."
"Basically, Can you help me fill out this form? right now."
We are waiting for the monsoon to arrive..
"Hello, My total annual earnings from agriculture are 3 lakhs per year. immediately."
"Basically, I want to ask about the interest rates.??"
"Actually, The Government Bank has sanctioned a credit limit of 2L."
"Sir, The bus service to the town is irregular. please."
"Actually, As a Widow farmer, I face unique challenges in Balipatna. immediately."
"Actually, We are waiting for the monsoon to arrive. immediately."
"Sir, Agriculture is the backbone of our economy. immediately."
"Basically, The Magel Tyala Shettale is exclusively for small farmer income farmers.??"
"Hello, I need to withdraw money for household expenses.."
"Basically, My total annual earnings from agriculture are Rs. 15000 pm.."
"Actually, Farming is hard work but it is honest work. please."
My Turkeys shed needs repair before the Kharif season starts.??
"To be honest, The PACS sanctioned 10000 for Rotavator purchase. right now."
"Hello, Is the office open on Saturdays?"
"Hello, Since I fall under the daily wage earner group, I cannot pay high interest. right now."
"Sir, The road to the farm is in bad condition.."
"Actually, The road to the farm is in bad condition. right now."
"Basically, Does the bank offer lower interest rates for seasonal income applicants?."
"Hello, I am repaying the 85,000 borrowed for my tractor.."
"Sir, If the rain continues, my Sorghum harvest will be delayed. immediately."
"Actually, I went to the bank to update my passbook. immediately."
"Hello, I belong to the average income category and need financial help. please."
"Sir, We struggle because our household income is only Rs. 2 lakhs annually. immediately."
"To be honest, Does the bank offer lower interest rates for household income of 2 lakhs applicants?."
"Hello, Whenever the Sawan arrives, we prepare the 10 hectares for sowing.??"
"Sir, We struggle because our household income is only 5k per month.??"
"To be honest, Since I fall under the family income of 1 lakh group, I cannot pay high interest. right now."
"Basically, I want to register for back-ended subsidy under the new guidelines. please."
"Hello, Is there any government help available for us? right now."
"Sir, We struggle because our household income is only Rs. 2 lakhs annually.??"
"Basically, The Surti Buffalo need vaccination urgently."
"To be honest, My Desi Murgh shed needs repair before the Late Rabi starts. right now."
"Actually, I need 20000 from Main Branch to buy Monoblock Pump for my Sprinkler irrigated farm.."
"Actually, Sukra from Bhosari applied for Mandi Scheme and Mera Pani Meri Virasat. immediately."
"Hello, The PMKSY is exclusively for household income of 2 lakhs farmers."
Who is the current sarpanch of this area? please.
"Sir, Who is the current sarpanch of this area? immediately."
"Basically, Water scarcity is a major issue in our village.??"
"To be honest, My Ram and Pangasius require a loan of 45000.."
"Actually, My application was rejected due to missing documents. please."
"Hello, The District Central Cooperative Bank sanctioned 10L for Plough purchase.."
"Actually, We use Growth Promoter and Seeds for farming Peas in the Wet season."
"Basically, The bus service to the town is irregular. immediately."
"To be honest, Since I fall under the no regular income group, I cannot pay high interest.??"
"Hello, I require a Weedicides to manage the harvest efficiently. please."
"Sir, My family is classified as middle income in the government records. right now."
"Basically, I have attached my sufficient income certificate with the application.??"
"Actually, Farming is hard work but it is honest work. immediately."
My application was rejected due to missing documents. right now.
"To be honest, Although I own 5 dhurs, the soil quality is poor. right now."
"Hello, I belong to the sufficient income category and need financial help.."
"Sir, My 25 decimals produces Ragi, which earns me 2,000 per month annually. please."
"Actually, I went to the bank to update my passbook. please."
"To be honest, I want to ask about the interest rates.."
Is Fish covered under the insurance scheme? right now.
"Basically, Please tell me the procedure to meet the officer. right now."
"We struggle because our household income is only 50,000 yearly.??"
"Sir, My Vanaraja shed needs repair before the March-April starts. immediately."
"Hello, The village meeting is scheduled for next week. please."
"To be honest, Farming is hard work but it is honest work.."
"Actually, My application was rejected due to missing documents.??"
"My 0.5 hectare produces Barley, which earns me 3,000 per month annually. immediately."
"Actually, My Calves shed needs repair before the Monsoon starts. immediately."
"Sir, Being from the Scheduled Tribe category, do I get extra benefits? right now."
"Basically, Is a family income of 8,000 per month eligible for this waiver?."
"To be honest, The road to the farm is in bad condition.??"
"To be honest, The SBI has sanctioned a credit limit of 50,000 rupees. please."
"Actually, We usually harvest in the early morning.??"
I went to the bank to update my passbook. please.
"To be honest, I need to withdraw money for household expenses.."
"Basically, Being from the Adivasi category, do I get extra benefits? please."
"To be honest, Farming is hard work but it is honest work.??"
"Sir, The fertilizer shop was closed today.."
"Actually, Thank you for your help yesterday. right now."
I have attached my BPL certificate with the application. please.
"Hello, Water scarcity is a major issue in our village. immediately."
"Basically, I went to the bank to update my passbook."
"To be honest, My pond is stocked with Catla and local fish."
"Basically, The Union Bank sanctioned 1.5L for Barbed Wire Fencing purchase. right now."
"Hello, The YSR Sunna Vaddi was applied for by my father last month. right now."
"Hello, We are a economically weaker section family living in Thirukadaiyur. please."
"Sir, We struggle because our household income is only 8500 per month. immediately."
"Basically, Does the PKVY cover both Peas and Pearl Millet damages?."
"To be honest, Transportation costs have gone up significantly. immediately."
"Sir, I need to withdraw money for household expenses.??"
"To be honest, The bus service to the town is irregular. right now."
"Sir, Is there any special subsidy on Thresher for below poverty line households? right now."
"Actually, I declared Rs. 6000 pm on my income certificate."
"Actually, The village meeting is scheduled for next week. please."
"Actually, My application was rejected because I am not considered average income.."
"Sir, Please tell me the procedure to meet the officer. please."
"Sir, My application was rejected due to missing documents. immediately."
"Basically, I grow Ragi and Sunflower on my 4 kanals of Grazing land land.??"
"To be honest, Agriculture is the backbone of our economy. please."
"Hello, I grow Spinach and Jute on my 1 decimal of Lal mitti land. please."
"Actually, The Potash was purchased using the subsidy from SAFAL."
"Hello, We are waiting for the monsoon to arrive. right now."
"Hello, I need 300000 from Mudra Bank to buy 4WD Tractor for my Rocky farm. immediately."
"To be honest, With 4500 per month income, can I afford Potash and Turkeys? please."
I belong to the no regular income category and need financial help. right now.
"To be honest, Transportation costs have gone up significantly. immediately."
"Hello, The soil is very dry this year.??"
"Sir, The Fodder Cutter I bought last year is not working. immediately."
